year,state,type,acres,total_acres_all_vegetables
2003,Delaware,lettuce,0,10
2003,Florida,lettuce,56,847
2003,Georgia,lettuce,0,674
2003,Hawaii,lettuce,9,141
2003,Idaho,lettuce,0,100
2003,Illinois,lettuce,1,295
2003,Indiana,lettuce,0,417
2003,Iowa,lettuce,0,362.68
2003,Kansas,lettuce,0,101
2003,Kentucky,lettuce,0,16
2003,Louisiana,lettuce,0,95
2003,Maine,lettuce,0,0
2003,Maryland,lettuce,0,500
2003,Massachusetts,lettuce,0,0
2003,Michigan,lettuce,0,1269.2
2003,Minnesota,lettuce,0,1148.96
2003,Mississippi,lettuce,0,0
2003,Missouri,lettuce,0,6
2003,Montana,lettuce,0,109
2003,Nebraska,lettuce,0,97
2003,Nevada,lettuce,0,33.25
2003,New Hampshire,lettuce,0,279
2003,New Jersey,lettuce,0,199
2003,New Mexico,lettuce,0,1040
2003,New York,lettuce,0,1671.7
2003,North Carolina,lettuce,0,778
2003,North Dakota,lettuce,0,75.5
2003,Ohio,lettuce,11,490
2003,Oklahoma,lettuce,2,76
2003,Oregon,lettuce,11,2782.4
2003,Pennsylvania,lettuce,7,636
2003,Rhode Island,lettuce,1.3,43.9
2003,South Carolina,lettuce,0,22
2003,South Dakota,lettuce,0,54.8
2003,Tennessee,lettuce,0,64
2003,Texas,lettuce,4.47,290.42
2003,Utah,lettuce,0,107.75
2003,Vermont,lettuce,0,818
2003,Virginia,lettuce,0,597.5
2003,Washington,lettuce,37,9555
2003,West Virginia,lettuce,0,42
2003,Wisconsin,lettuce,1,1237.43
2003,Wyoming,lettuce,0,2
2004,Alabama,lettuce,0,4
2004,Alaska,lettuce,0,16
2004,Arizona,lettuce,0,2156.008
2004,Arkansas,lettuce,0,32
2004,California,lettuce,12176.3,48915.86
2004,Colorado,lettuce,332.27,1555.15
2004,Connecticut,lettuce,3.33,145.22
2004,Delaware,lettuce,0,6
2004,Florida,lettuce,290,2379.5
2004,Georgia,lettuce,0,495.427
2004,Hawaii,lettuce,56.25,345.8475
2004,Idaho,lettuce,1.65,266.38
2004,Illinois,lettuce,1,119.59
2004,Indiana,lettuce,0,89.05
2004,Iowa,lettuce,0,204.7
2004,Kansas,lettuce,0,76.3
2004,Kentucky,lettuce,0,63.5
2004,Louisiana,lettuce,0,1
2004,Maine,lettuce,7,294.27
2004,Maryland,lettuce,0.009,373.139
2004,Massachusetts,lettuce,23.37,463.94
2004,Michigan,lettuce,0,230.54
2004,Minnesota,lettuce,507,1609.86
2004,Mississippi,lettuce,0,0
2004,Missouri,lettuce,0,58.5
2004,Montana,lettuce,3,176
2004,Nebraska,lettuce,8,67.25
2004,Nevada,lettuce,0,14
2004,New Hampshire,lettuce,0,178.9
2004,New Jersey,lettuce,0,166.97
2004,New Mexico,lettuce,0,527
2004,New York,lettuce,0,4483.0464
2004,North Carolina,lettuce,0,457.175
2004,North Dakota,lettuce,0,111
2004,Ohio,lettuce,0,601.3
2004,Oklahoma,lettuce,0,163
